Adjust_los,NMAE,NMSE,R2,Error ratio
1.00E-01,7.13E-02,4.60E-02,9.47E-01,3.54E-01
1.10E-01,7.03E-02,3.46E-02,9.60E-01,3.10E-01
1.20E-01,7.15E-02,4.70E-02,9.46E-01,3.54E-01
1.30E-01,7.13E-02,4.55E-02,9.47E-01,3.57E-01
1.40E-01,7.03E-02,3.79E-02,9.56E-01,3.20E-01
1.50E-01,7.04E-02,3.81E-02,9.56E-01,3.26E-01
1.60E-01,6.93E-02,2.93E-02,9.66E-01,2.95E-01
1.70E-01,7.10E-02,3.87E-02,9.55E-01,3.34E-01
1.80E-01,7.08E-02,4.41E-02,9.49E-01,3.55E-01
1.90E-01,7.00E-02,3.66E-02,9.58E-01,3.26E-01
2.00E-01,7.05E-02,4.43E-02,9.49E-01,3.43E-01
2.10E-01,6.98E-02,3.53E-02,9.59E-01,3.13E-01
2.20E-01,7.12E-02,5.07E-02,9.41E-01,3.72E-01
2.30E-01,7.11E-02,5.22E-02,9.40E-01,3.74E-01
2.40E-01,7.15E-02,5.04E-02,9.42E-01,3.66E-01
2.50E-01,6.98E-02,3.50E-02,9.60E-01,3.12E-01
2.60E-01,6.94E-02,3.52E-02,9.59E-01,3.14E-01
2.70E-01,6.98E-02,4.05E-02,9.53E-01,3.40E-01
2.80E-01,6.97E-02,4.21E-02,9.51E-01,3.40E-01
2.90E-01,6.95E-02,3.62E-02,9.58E-01,3.15E-01
3.00E-01,7.00E-02,4.19E-02,9.52E-01,3.48E-01
3.10E-01,7.06E-02,4.62E-02,9.47E-01,3.49E-01
3.20E-01,6.97E-02,4.04E-02,9.53E-01,3.37E-01
3.30E-01,7.00E-02,4.04E-02,9.53E-01,3.32E-01
3.40E-01,7.00E-02,3.97E-02,9.54E-01,3.34E-01
3.50E-01,6.97E-02,4.20E-02,9.52E-01,3.41E-01
3.60E-01,6.97E-02,3.92E-02,9.55E-01,3.30E-01
3.70E-01,6.93E-02,3.77E-02,9.56E-01,3.22E-01
3.80E-01,6.91E-02,3.44E-02,9.60E-01,3.14E-01
3.90E-01,6.89E-02,3.69E-02,9.57E-01,3.23E-01
4.00E-01,6.93E-02,4.07E-02,9.53E-01,3.39E-01
4.10E-01,6.90E-02,3.64E-02,9.58E-01,3.22E-01
4.20E-01,6.92E-02,3.75E-02,9.57E-01,3.21E-01
4.30E-01,6.91E-02,4.27E-02,9.51E-01,3.44E-01
4.40E-01,6.93E-02,3.64E-02,9.58E-01,3.19E-01
4.50E-01,6.97E-02,4.67E-02,9.46E-01,3.54E-01
4.60E-01,6.82E-02,3.23E-02,9.63E-01,3.05E-01
4.70E-01,6.92E-02,3.85E-02,9.55E-01,3.28E-01
4.80E-01,6.81E-02,3.32E-02,9.62E-01,3.05E-01
4.90E-01,6.85E-02,3.86E-02,9.55E-01,3.25E-01
5.00E-01,6.90E-02,4.46E-02,9.48E-01,3.48E-01
5.10E-01,6.83E-02,3.64E-02,9.58E-01,3.15E-01
5.20E-01,6.83E-02,3.45E-02,9.60E-01,3.11E-01
5.30E-01,6.89E-02,4.04E-02,9.53E-01,3.38E-01
5.40E-01,6.84E-02,4.28E-02,9.51E-01,3.40E-01
5.50E-01,6.78E-02,3.14E-02,9.64E-01,2.97E-01
5.60E-01,6.93E-02,4.62E-02,9.47E-01,3.53E-01
5.70E-01,6.88E-02,4.48E-02,9.48E-01,3.50E-01
5.80E-01,6.74E-02,3.20E-02,9.63E-01,2.99E-01
5.90E-01,6.85E-02,4.06E-02,9.53E-01,3.37E-01
6.00E-01,6.90E-02,4.05E-02,9.53E-01,3.34E-01
6.10E-01,6.82E-02,4.26E-02,9.51E-01,3.47E-01
6.20E-01,6.87E-02,3.86E-02,9.55E-01,3.29E-01
6.30E-01,6.81E-02,4.41E-02,9.49E-01,3.48E-01
6.40E-01,6.78E-02,3.70E-02,9.57E-01,3.22E-01
6.50E-01,6.86E-02,4.59E-02,9.47E-01,3.52E-01
6.60E-01,6.78E-02,3.46E-02,9.60E-01,3.10E-01
6.70E-01,6.82E-02,3.65E-02,9.58E-01,3.23E-01
6.80E-01,6.93E-02,4.68E-02,9.46E-01,3.53E-01
6.90E-01,6.81E-02,4.19E-02,9.52E-01,3.36E-01
