Adjust_loss,NMAE,NMSE,R2,Eror ratio
4.70E-01,6.70E-02,2.67E-02,9.69E-01,2.80E-01
1.60E-01,6.90E-02,2.71E-02,9.69E-01,2.81E-01
1.40E-01,6.95E-02,3.02E-02,9.65E-01,2.93E-01
4.80E-01,6.76E-02,2.99E-02,9.65E-01,2.95E-01
2.30E-01,6.91E-02,3.10E-02,9.64E-01,3.00E-01
4.60E-01,6.79E-02,3.12E-02,9.64E-01,3.01E-01
4.20E-01,6.82E-02,3.21E-02,9.63E-01,3.05E-01
2.50E-01,6.92E-02,3.35E-02,9.61E-01,3.06E-01
1.00E-02,7.09E-02,3.34E-02,9.61E-01,3.07E-01
3.90E-01,6.87E-02,3.29E-02,9.62E-01,3.08E-01
2.80E-01,6.92E-02,3.47E-02,9.60E-01,3.11E-01
1.30E-01,6.97E-02,3.48E-02,9.60E-01,3.16E-01
3.00E-02,7.10E-02,3.60E-02,9.58E-01,3.17E-01
2.00E-01,6.98E-02,3.57E-02,9.59E-01,3.17E-01
9.00E-02,7.08E-02,3.56E-02,9.59E-01,3.19E-01
3.00E-01,6.96E-02,3.63E-02,9.58E-01,3.19E-01
4.40E-01,6.83E-02,3.56E-02,9.59E-01,3.20E-01
1.20E-01,7.03E-02,3.64E-02,9.58E-01,3.20E-01
3.60E-01,6.90E-02,3.67E-02,9.58E-01,3.21E-01
4.90E-01,6.82E-02,3.64E-02,9.58E-01,3.23E-01
4.00E-02,7.09E-02,3.73E-02,9.57E-01,3.24E-01
8.00E-02,7.07E-02,3.79E-02,9.56E-01,3.25E-01
4.10E-01,6.90E-02,3.82E-02,9.56E-01,3.27E-01
2.20E-01,7.01E-02,3.86E-02,9.55E-01,3.27E-01
3.20E-01,6.97E-02,3.92E-02,9.55E-01,3.30E-01
3.10E-01,6.94E-02,3.96E-02,9.54E-01,3.31E-01
3.70E-01,6.92E-02,3.98E-02,9.54E-01,3.32E-01
1.00E-01,7.08E-02,3.93E-02,9.55E-01,3.33E-01
4.00E-01,6.95E-02,4.08E-02,9.53E-01,3.34E-01
1.50E-01,7.12E-02,4.11E-02,9.53E-01,3.35E-01
2.10E-01,7.01E-02,3.98E-02,9.54E-01,3.35E-01
2.60E-01,7.00E-02,4.11E-02,9.52E-01,3.35E-01
1.90E-01,7.01E-02,3.85E-02,9.56E-01,3.36E-01
2.90E-01,6.98E-02,4.15E-02,9.52E-01,3.37E-01
2.00E-02,7.14E-02,4.03E-02,9.53E-01,3.38E-01
3.80E-01,6.97E-02,4.19E-02,9.52E-01,3.38E-01
5.00E-02,7.16E-02,4.21E-02,9.51E-01,3.42E-01
4.30E-01,6.95E-02,4.39E-02,9.49E-01,3.43E-01
4.50E-01,6.91E-02,4.37E-02,9.50E-01,3.44E-01
2.70E-01,7.05E-02,4.30E-02,9.50E-01,3.44E-01
6.00E-02,7.19E-02,4.39E-02,9.49E-01,3.45E-01
2.40E-01,7.07E-02,4.24E-02,9.51E-01,3.46E-01
1.10E-01,7.11E-02,4.25E-02,9.51E-01,3.46E-01
3.30E-01,7.01E-02,4.50E-02,9.48E-01,3.49E-01
3.40E-01,6.94E-02,4.49E-02,9.48E-01,3.53E-01
1.80E-01,7.09E-02,4.66E-02,9.46E-01,3.54E-01
7.00E-02,7.22E-02,4.73E-02,9.45E-01,3.56E-01
3.50E-01,7.06E-02,4.84E-02,9.44E-01,3.60E-01
1.70E-01,7.12E-02,4.78E-02,9.45E-01,3.62E-01
