Forward_weight,NMAE,NMSE,R2,Error ratio
1.90E+00,6.90E-02,2.71E-02,9.69E-01,2.81E-01
2.00E+00,6.92E-02,2.82E-02,9.67E-01,2.86E-01
2.50E+00,6.93E-02,3.04E-02,9.65E-01,2.98E-01
2.40E+00,6.95E-02,3.10E-02,9.64E-01,3.02E-01
2.70E+00,6.96E-02,3.28E-02,9.62E-01,3.07E-01
2.60E+00,6.96E-02,3.38E-02,9.61E-01,3.10E-01
2.20E+00,6.97E-02,3.47E-02,9.60E-01,3.15E-01
2.10E+00,6.95E-02,3.51E-02,9.59E-01,3.15E-01
1.80E+00,7.07E-02,3.77E-02,9.56E-01,3.27E-01
2.80E+00,6.98E-02,3.73E-02,9.57E-01,3.28E-01
2.90E+00,7.04E-02,3.97E-02,9.54E-01,3.36E-01
2.30E+00,7.07E-02,4.04E-02,9.53E-01,3.38E-01
1.70E+00,7.11E-02,4.28E-02,9.51E-01,3.38E-01
1.60E+00,7.08E-02,4.10E-02,9.53E-01,3.39E-01
1.50E+00,7.05E-02,4.23E-02,9.51E-01,3.40E-01
1.20E+00,7.21E-02,4.67E-02,9.46E-01,3.51E-01
1.00E+00,7.16E-02,4.90E-02,9.43E-01,3.59E-01
1.10E+00,7.19E-02,5.16E-02,9.40E-01,3.64E-01
1.30E+00,7.22E-02,5.24E-02,9.39E-01,3.68E-01
1.40E+00,7.15E-02,5.16E-02,9.40E-01,3.69E-01
8.00E-01,7.38E-02,5.64E-02,9.35E-01,3.69E-01
9.00E-01,7.34E-02,5.62E-02,9.35E-01,3.71E-01
7.00E-01,7.41E-02,5.92E-02,9.32E-01,3.79E-01
6.00E-01,7.68E-02,7.44E-02,9.14E-01,4.08E-01
5.00E-01,7.70E-02,8.80E-02,8.98E-01,4.34E-01
