Forward_weight,NMAE,NMSE,R2,Error ratio
2.20E+00,6.72E-02,2.37E-02,9.73E-01,2.65E-01
1.90E+00,6.65E-02,2.47E-02,9.72E-01,2.72E-01
2.10E+00,6.75E-02,2.79E-02,9.68E-01,2.86E-01
2.50E+00,6.80E-02,3.05E-02,9.65E-01,2.97E-01
1.70E+00,6.82E-02,3.19E-02,9.63E-01,2.99E-01
3.40E+00,6.87E-02,3.36E-02,9.61E-01,3.09E-01
1.60E+00,6.80E-02,3.46E-02,9.60E-01,3.12E-01
2.80E+00,6.79E-02,3.39E-02,9.61E-01,3.13E-01
3.20E+00,6.81E-02,3.39E-02,9.61E-01,3.17E-01
2.00E+00,6.85E-02,3.51E-02,9.59E-01,3.19E-01
2.90E+00,6.82E-02,3.67E-02,9.58E-01,3.21E-01
1.80E+00,6.83E-02,3.75E-02,9.57E-01,3.27E-01
3.30E+00,6.92E-02,3.86E-02,9.55E-01,3.30E-01
2.30E+00,6.90E-02,3.91E-02,9.55E-01,3.31E-01
2.40E+00,6.90E-02,3.96E-02,9.54E-01,3.33E-01
1.50E+00,6.85E-02,4.08E-02,9.53E-01,3.35E-01
2.70E+00,6.80E-02,3.97E-02,9.54E-01,3.38E-01
3.00E+00,6.97E-02,4.29E-02,9.50E-01,3.45E-01
3.50E+00,6.86E-02,4.24E-02,9.51E-01,3.45E-01
1.30E+00,6.85E-02,4.40E-02,9.49E-01,3.47E-01
1.10E+00,7.06E-02,4.78E-02,9.45E-01,3.48E-01
1.20E+00,6.95E-02,4.78E-02,9.45E-01,3.51E-01
3.70E+00,6.97E-02,4.48E-02,9.48E-01,3.51E-01
3.10E+00,6.93E-02,4.41E-02,9.49E-01,3.52E-01
4.00E-01,7.25E-02,5.35E-02,9.38E-01,3.53E-01
3.60E+00,6.94E-02,4.62E-02,9.47E-01,3.54E-01
1.40E+00,6.94E-02,4.75E-02,9.45E-01,3.57E-01
2.60E+00,6.84E-02,4.64E-02,9.46E-01,3.57E-01
1.00E+00,7.02E-02,5.10E-02,9.41E-01,3.61E-01
3.90E+00,7.01E-02,5.03E-02,9.42E-01,3.64E-01
6.00E-01,7.23E-02,5.65E-02,9.35E-01,3.65E-01
5.00E-01,7.26E-02,5.69E-02,9.34E-01,3.66E-01
8.00E-01,7.14E-02,5.63E-02,9.35E-01,3.70E-01
3.00E-01,7.33E-02,6.00E-02,9.31E-01,3.70E-01
3.80E+00,7.01E-02,5.25E-02,9.39E-01,3.77E-01
9.00E-01,7.14E-02,5.86E-02,9.32E-01,3.78E-01
7.00E-01,7.19E-02,6.15E-02,9.29E-01,3.80E-01
2.00E-01,7.80E-02,1.02E-01,8.82E-01,4.42E-01
1.00E-01,8.07E-02,1.13E-01,8.69E-01,4.55E-01
