Epoch,NMAE,NMSE,R2-Score,Error ratio
124,7.00E-02,3.41E-02,9.61E-01,3.12E-01
144,7.95E-02,3.38E-02,9.61E-01,3.13E-01
80,7.23E-02,3.54E-02,9.59E-01,3.14E-01
94,7.03E-02,3.65E-02,9.58E-01,3.14E-01
96,6.98E-02,3.53E-02,9.59E-01,3.15E-01
111,7.17E-02,3.66E-02,9.58E-01,3.19E-01
102,7.23E-02,3.87E-02,9.55E-01,3.20E-01
93,7.05E-02,3.82E-02,9.56E-01,3.20E-01
101,7.18E-02,3.62E-02,9.58E-01,3.21E-01
118,7.35E-02,3.63E-02,9.58E-01,3.21E-01
61,7.12E-02,3.79E-02,9.56E-01,3.21E-01
140,7.36E-02,3.72E-02,9.57E-01,3.22E-01
83,7.01E-02,3.78E-02,9.56E-01,3.22E-01
89,7.07E-02,3.89E-02,9.55E-01,3.24E-01
90,7.23E-02,3.82E-02,9.56E-01,3.24E-01
20,7.23E-02,3.90E-02,9.55E-01,3.25E-01
100,7.17E-02,3.84E-02,9.56E-01,3.25E-01
125,7.23E-02,3.90E-02,9.55E-01,3.27E-01
134,7.49E-02,3.76E-02,9.57E-01,3.29E-01
86,7.38E-02,4.01E-02,9.54E-01,3.29E-01
46,7.02E-02,3.93E-02,9.55E-01,3.29E-01
36,7.65E-02,4.26E-02,9.51E-01,3.30E-01
37,7.02E-02,3.86E-02,9.55E-01,3.30E-01
121,7.19E-02,4.00E-02,9.54E-01,3.30E-01
56,7.09E-02,4.08E-02,9.53E-01,3.31E-01
55,7.38E-02,3.95E-02,9.54E-01,3.31E-01
114,7.11E-02,4.00E-02,9.54E-01,3.33E-01
136,7.64E-02,3.95E-02,9.54E-01,3.33E-01
70,7.17E-02,4.15E-02,9.52E-01,3.34E-01
88,7.41E-02,4.01E-02,9.54E-01,3.34E-01
95,7.40E-02,4.12E-02,9.52E-01,3.35E-01
27,7.28E-02,4.30E-02,9.50E-01,3.35E-01
120,7.60E-02,3.92E-02,9.55E-01,3.35E-01
81,7.30E-02,4.25E-02,9.51E-01,3.36E-01
115,7.07E-02,4.29E-02,9.50E-01,3.36E-01
54,7.15E-02,4.12E-02,9.52E-01,3.36E-01
123,7.12E-02,4.32E-02,9.50E-01,3.37E-01
62,7.04E-02,4.01E-02,9.54E-01,3.37E-01
107,7.16E-02,4.18E-02,9.52E-01,3.37E-01
131,7.45E-02,3.92E-02,9.55E-01,3.38E-01
71,7.38E-02,4.09E-02,9.53E-01,3.39E-01
112,7.22E-02,4.30E-02,9.50E-01,3.39E-01
104,7.06E-02,4.02E-02,9.54E-01,3.40E-01
53,7.13E-02,4.17E-02,9.52E-01,3.40E-01
29,7.34E-02,4.14E-02,9.52E-01,3.40E-01
139,7.51E-02,4.09E-02,9.53E-01,3.40E-01
82,7.28E-02,4.42E-02,9.49E-01,3.40E-01
60,7.31E-02,4.19E-02,9.52E-01,3.41E-01
122,7.10E-02,4.21E-02,9.51E-01,3.42E-01
110,7.19E-02,4.44E-02,9.49E-01,3.42E-01
132,7.43E-02,4.34E-02,9.50E-01,3.42E-01
65,7.38E-02,4.27E-02,9.51E-01,3.42E-01
38,7.38E-02,4.45E-02,9.49E-01,3.43E-01
58,7.00E-02,4.29E-02,9.50E-01,3.43E-01
126,7.12E-02,4.16E-02,9.52E-01,3.43E-01
135,7.69E-02,4.26E-02,9.51E-01,3.43E-01
130,7.16E-02,4.12E-02,9.52E-01,3.43E-01
87,7.38E-02,4.25E-02,9.51E-01,3.44E-01
129,7.15E-02,4.34E-02,9.50E-01,3.45E-01
91,7.35E-02,4.30E-02,9.50E-01,3.45E-01
25,7.68E-02,4.40E-02,9.49E-01,3.45E-01
43,7.30E-02,4.40E-02,9.49E-01,3.46E-01
39,7.16E-02,4.33E-02,9.50E-01,3.47E-01
34,7.50E-02,4.73E-02,9.45E-01,3.47E-01
74,7.38E-02,4.46E-02,9.48E-01,3.47E-01
73,7.30E-02,4.41E-02,9.49E-01,3.49E-01
154,9.71E-02,3.94E-02,9.54E-01,3.50E-01
97,7.09E-02,4.71E-02,9.46E-01,3.51E-01
127,7.10E-02,4.44E-02,9.49E-01,3.54E-01
18,7.37E-02,4.58E-02,9.47E-01,3.54E-01
67,7.13E-02,4.52E-02,9.48E-01,3.54E-01
47,7.19E-02,4.79E-02,9.45E-01,3.56E-01
147,9.63E-02,4.50E-02,9.48E-01,3.56E-01
40,7.66E-02,4.72E-02,9.46E-01,3.57E-01
98,7.38E-02,4.98E-02,9.42E-01,3.58E-01
30,7.80E-02,4.74E-02,9.45E-01,3.58E-01
113,7.33E-02,4.62E-02,9.47E-01,3.59E-01
103,7.21E-02,4.85E-02,9.44E-01,3.60E-01
13,7.53E-02,4.73E-02,9.45E-01,3.60E-01
28,7.33E-02,4.99E-02,9.42E-01,3.61E-01
1,7.95E-02,4.90E-02,9.43E-01,3.61E-01
57,7.13E-02,4.71E-02,9.46E-01,3.62E-01
85,7.15E-02,4.88E-02,9.44E-01,3.62E-01
21,7.58E-02,4.94E-02,9.43E-01,3.62E-01
77,7.47E-02,4.81E-02,9.44E-01,3.62E-01
92,7.23E-02,4.97E-02,9.43E-01,3.63E-01
41,7.44E-02,4.83E-02,9.44E-01,3.63E-01
84,7.26E-02,4.93E-02,9.43E-01,3.63E-01
99,7.62E-02,4.96E-02,9.43E-01,3.63E-01
48,7.31E-02,4.89E-02,9.44E-01,3.63E-01
106,7.17E-02,4.89E-02,9.44E-01,3.65E-01
22,7.73E-02,4.71E-02,9.46E-01,3.65E-01
24,7.55E-02,5.21E-02,9.40E-01,3.66E-01
45,7.48E-02,5.12E-02,9.41E-01,3.66E-01
116,7.51E-02,4.64E-02,9.46E-01,3.67E-01
64,7.67E-02,5.25E-02,9.39E-01,3.67E-01
3,7.70E-02,4.95E-02,9.43E-01,3.68E-01
105,7.27E-02,5.10E-02,9.41E-01,3.68E-01
52,7.37E-02,5.10E-02,9.41E-01,3.68E-01
76,7.28E-02,5.08E-02,9.41E-01,3.69E-01
117,7.81E-02,5.35E-02,9.38E-01,3.70E-01
14,7.46E-02,5.29E-02,9.39E-01,3.71E-01
108,7.42E-02,5.16E-02,9.40E-01,3.72E-01
32,7.56E-02,5.29E-02,9.39E-01,3.73E-01
33,7.47E-02,5.07E-02,9.41E-01,3.73E-01
157,8.64E-02,4.93E-02,9.43E-01,3.74E-01
75,7.58E-02,5.17E-02,9.40E-01,3.74E-01
49,7.50E-02,5.24E-02,9.39E-01,3.74E-01
138,7.75E-02,5.20E-02,9.40E-01,3.74E-01
119,7.64E-02,5.17E-02,9.40E-01,3.74E-01
72,7.37E-02,5.28E-02,9.39E-01,3.75E-01
155,1.02E-01,4.86E-02,9.44E-01,3.75E-01
128,7.44E-02,4.94E-02,9.43E-01,3.76E-01
59,7.34E-02,5.21E-02,9.40E-01,3.76E-01
66,7.24E-02,5.26E-02,9.39E-01,3.76E-01
19,7.74E-02,5.37E-02,9.38E-01,3.77E-01
133,7.42E-02,5.12E-02,9.41E-01,3.77E-01
145,8.48E-02,5.26E-02,9.39E-01,3.77E-01
137,7.99E-02,5.19E-02,9.40E-01,3.77E-01
68,7.32E-02,5.33E-02,9.38E-01,3.78E-01
44,7.10E-02,5.55E-02,9.36E-01,3.78E-01
142,8.44E-02,5.35E-02,9.38E-01,3.78E-01
23,7.88E-02,5.46E-02,9.37E-01,3.80E-01
31,7.42E-02,5.61E-02,9.35E-01,3.81E-01
143,8.17E-02,5.09E-02,9.41E-01,3.82E-01
69,7.28E-02,5.66E-02,9.35E-01,3.83E-01
156,9.65E-02,5.00E-02,9.42E-01,3.83E-01
2,8.17E-02,5.23E-02,9.40E-01,3.83E-01
5,8.07E-02,5.38E-02,9.38E-01,3.83E-01
146,9.07E-02,5.27E-02,9.39E-01,3.84E-01
17,8.19E-02,5.42E-02,9.37E-01,3.84E-01
50,7.60E-02,5.49E-02,9.37E-01,3.85E-01
26,7.44E-02,5.59E-02,9.35E-01,3.85E-01
109,7.35E-02,5.87E-02,9.32E-01,3.87E-01
79,7.46E-02,5.68E-02,9.34E-01,3.87E-01
12,7.99E-02,5.32E-02,9.39E-01,3.89E-01
78,7.37E-02,5.81E-02,9.33E-01,3.90E-01
141,8.08E-02,5.61E-02,9.35E-01,3.91E-01
51,7.51E-02,5.83E-02,9.33E-01,3.91E-01
4,8.21E-02,5.59E-02,9.35E-01,3.91E-01
150,9.91E-02,5.20E-02,9.40E-01,3.92E-01
35,7.67E-02,5.72E-02,9.34E-01,3.92E-01
8,7.74E-02,5.89E-02,9.32E-01,3.93E-01
9,7.78E-02,5.70E-02,9.34E-01,3.93E-01
149,1.05E-01,5.51E-02,9.36E-01,3.94E-01
152,9.71E-02,5.39E-02,9.38E-01,3.95E-01
7,8.32E-02,5.72E-02,9.34E-01,3.96E-01
63,7.37E-02,5.86E-02,9.32E-01,3.97E-01
10,7.60E-02,5.97E-02,9.31E-01,3.98E-01
42,7.81E-02,5.81E-02,9.33E-01,3.99E-01
151,9.26E-02,5.65E-02,9.35E-01,4.03E-01
15,7.67E-02,6.12E-02,9.29E-01,4.03E-01
148,9.54E-02,5.80E-02,9.33E-01,4.04E-01
11,7.81E-02,6.31E-02,9.27E-01,4.05E-01
153,9.64E-02,5.80E-02,9.33E-01,4.06E-01
16,7.94E-02,6.54E-02,9.24E-01,4.10E-01
6,8.50E-02,6.72E-02,9.22E-01,4.25E-01
