DFA_weight,NMAE,NMSE,R2,Error ratio
0.01,0.0755528157,0.0424531675,0.9509533643,0.3356201762
0.11,0.0751301181,0.0428567859,0.9504870593,0.3442842405
0.13,0.0764747664,0.0554618715,0.9359242581,0.3783874154
0.02,0.0770226672,0.0579082876,0.9330978853,0.3906859674
0.08,0.076908442,0.0583089278,0.932635021,0.3933610054
0.07,0.0769871,0.0589206338,0.93192831,0.3943588411
0.04,0.076908718,0.0602258763,0.9304203483,0.3985719955
0.12,0.0768769093,0.0597612826,0.9309570987,0.4000164294
0.06,0.07756668,0.0629274546,0.9272991835,0.4014846896
0.09,0.0774855102,0.0612699722,0.9292140921,0.4017896071
0.05,0.0774620542,0.0631204513,0.9270762122,0.4032053791
0.03,0.0776183196,0.064622637,0.9253407197,0.4070813702
0.15,0.0787131902,0.0676070783,0.9218927601,0.4082851865
0.1,0.0773144709,0.0647510844,0.925192323,0.413581987
0.14,0.0788736418,0.0715943075,0.9172862681,0.4240196551
0.16,0.080865928,0.0806815696,0.906787649,0.4298244651
0.17,0.0833033462,0.113084812,0.8693518081,0.4826958734
0.18,0.0845547454,0.1197224053,0.8616833198,0.4866228662
0.19,0.0892692607,0.1558181712,0.8199814637,0.5256168333
0.2,0.090430099,0.1684440904,0.8053945932,0.5420435231
0.23,0.0975808506,0.2023071916,0.7662721605,0.5513489
0.21,0.09523062,0.1970195033,0.772381088,0.56451151
0.22,0.0958240797,0.2049700052,0.7631957812,0.5654925201
0.24,0.0981149527,0.2304586638,0.733748439,0.5812898121
0.26,0.1021280956,0.2315383397,0.7325010769,0.5908299456
0.27,0.1034376022,0.2512743337,0.7096998546,0.6053304668
0.25,0.0994826525,0.246732279,0.714947343,0.6102324244
0.52,0.1098264069,0.2707405288,0.6872103342,0.6149335303
0.37,0.1086852026,0.266097715,0.6925742308,0.6181893907
0.69,0.1134582538,0.2761638285,0.6809447333,0.6238836525
0.5,0.1115250837,0.297939702,0.6557868146,0.6305754284
0.35,0.1099691194,0.2768397419,0.6801638427,0.6327305925
0.43,0.1107645447,0.2922659356,0.6623417827,0.6342073693
0.36,0.1087105612,0.2867481518,0.6687165422,0.6344552449
0.33,0.1074582956,0.2774301086,0.6794817853,0.6346051909
0.96,0.1141688669,0.2889293422,0.6661965876,0.6382229269
0.41,0.1096241554,0.2835639578,0.6723952783,0.6383665666
0.51,0.1135364458,0.2946734966,0.6595602996,0.6412118109
0.7,0.1148024417,0.2864689094,0.6690391541,0.6412919264
0.54,0.1121200814,0.3019787473,0.651120459,0.6439009754
0.49,0.1123280714,0.2892420714,0.6658352879,0.6443173833
0.47,0.11029684,0.2925422585,0.6620225436,0.6462314772
0.93,0.1149069437,0.2963753067,0.6575941787,0.6464128557
0.28,0.105842956,0.2907545816,0.6640878675,0.6474374252
0.39,0.1109260185,0.307093385,0.6452114588,0.6525839363
0.64,0.1164327292,0.3069310419,0.6453990157,0.6527494924
0.3,0.1081287732,0.2907744707,0.6640648893,0.65339155
0.72,0.1136103201,0.3068170104,0.6455307575,0.6534531534
0.48,0.113163638,0.314148699,0.6370603729,0.6552226296
0.89,0.1151573843,0.3060287082,0.6464414923,0.6565140652
0.6,0.111745314,0.3008473642,0.6524275589,0.6571448856
0.46,0.1134769363,0.3073799913,0.6448803392,0.6571543947
0.94,0.1195446841,0.3091792307,0.6428016572,0.6571720633
0.55,0.1138945781,0.3024703251,0.6505525334,0.6592336084
0.99,0.1179663857,0.3089243599,0.6430961123,0.6602119171
0.53,0.1139096795,0.3172202827,0.6335117367,0.6606902366
0.74,0.1196041311,0.3189290965,0.6315375244,0.6613362489
0.82,0.1180205961,0.3036930102,0.6491399511,0.6641127052
0.88,0.1168016837,0.3029723618,0.6499725246,0.6654290887
0.45,0.1142258424,0.3029853932,0.6499574692,0.665747088
0.42,0.1109534253,0.2992629047,0.6542581033,0.6660303987
0.32,0.1091809936,0.3089625297,0.6430520143,0.6679441177
0.59,0.1134155382,0.3225831024,0.6273160091,0.6692191787
0.84,0.1156179429,0.3223065113,0.627635558,0.6693262155
0.83,0.1175348968,0.3188369152,0.6316440225,0.6709776873
0.92,0.1173040837,0.3182190448,0.6323578553,0.6716418654
0.29,0.1109656785,0.3270622924,0.622141149,0.6736305113
0.81,0.1166803549,0.3320139966,0.6164203878,0.6742565147
0.9,0.1193883239,0.3347926644,0.6132101608,0.6760557625
0.91,0.1193933688,0.3277336463,0.6213655261,0.6773399858
0.62,0.114750516,0.3323212989,0.6160653579,0.6790264809
0.56,0.1148606972,0.3270451284,0.6221609788,0.6790588807
0.8,0.1180644786,0.3301402395,0.6185851611,0.6805002041
0.79,0.1186940205,0.3348522982,0.6131412651,0.6816932007
0.67,0.1152702798,0.3225318083,0.6273752697,0.6831014329
0.71,0.1191932964,0.3281289194,0.6209088625,0.6850079838
0.38,0.1146020894,0.3356063125,0.6122701437,0.6880147034
0.75,0.117145924,0.3418221291,0.6050889389,0.6912223095
0.85,0.1180570077,0.3370560606,0.610595233,0.6920636334
0.68,0.1196912256,0.3484300399,0.5974547431,0.6989410231
0.4,0.1153599351,0.3429064902,0.603836164,0.6994409493
0.44,0.1145829723,0.3461463318,0.6000931374,0.6999851501
0.98,0.1222577317,0.3584802268,0.5858436458,0.7080678962
0.87,0.1197180584,0.3556154391,0.5891533682,0.7095758531
0.73,0.1215797661,0.3528444123,0.5923547676,0.7102957791
0.31,0.1130497196,0.3399238987,0.6072819865,0.7116207622
0.95,0.1221142183,0.3531095555,0.5920484445,0.7116403987
0.61,0.1172241263,0.3659560589,0.5772067305,0.7119783965
0.77,0.1211372277,0.3579078234,0.5865049501,0.7124212182
0.65,0.1209986815,0.3595444696,0.5846141139,0.7139945291
0.86,0.1243113836,0.3750959394,0.5666473209,0.7197637817
0.63,0.1210091739,0.3739643623,0.567954645,0.7246106218
0.58,0.1204216513,0.3664950387,0.5765840409,0.7288634357
0.76,0.1208900319,0.3774269943,0.5639542262,0.7333073817
0.34,0.1131539182,0.3700580336,0.5724676717,0.7334647138
0.97,0.1223715519,0.385554564,0.5545643509,0.7380151969
0.78,0.123708917,0.4031744939,0.5342078419,0.7578862865
0.66,0.1236188044,0.4308641337,0.5022176806,0.7940120488
0.57,0.1253411338,0.4537668112,0.4757579523,0.8205191894
