Epoch,NMAE,NMSE,R2,Error ratio
9.50E+01,7.57E-02,4.94E-02,9.43E-01,3.68E-01
1.03E+02,7.15E-02,5.39E-02,9.38E-01,3.70E-01
2.60E+01,7.09E-02,5.00E-02,9.42E-01,3.71E-01
8.30E+01,7.67E-02,5.42E-02,9.37E-01,3.77E-01
1.11E+02,7.36E-02,5.66E-02,9.35E-01,3.78E-01
8.20E+01,7.61E-02,5.38E-02,9.38E-01,3.80E-01
3.70E+01,7.32E-02,5.38E-02,9.38E-01,3.81E-01
7.90E+01,7.54E-02,5.88E-02,9.32E-01,3.82E-01
1.20E+01,7.82E-02,5.35E-02,9.38E-01,3.83E-01
9.10E+01,7.63E-02,5.34E-02,9.38E-01,3.83E-01
3.50E+01,6.99E-02,5.48E-02,9.37E-01,3.85E-01
1.60E+01,7.42E-02,5.46E-02,9.37E-01,3.86E-01
1.12E+02,7.29E-02,5.45E-02,9.37E-01,3.86E-01
4.90E+01,7.38E-02,5.58E-02,9.36E-01,3.86E-01
1.21E+02,7.75E-02,5.53E-02,9.36E-01,3.88E-01
5.40E+01,7.62E-02,5.66E-02,9.35E-01,3.88E-01
2.70E+01,7.52E-02,5.63E-02,9.35E-01,3.88E-01
7.00E+01,7.30E-02,5.54E-02,9.36E-01,3.88E-01
8.80E+01,7.79E-02,5.61E-02,9.35E-01,3.88E-01
8.40E+01,7.46E-02,5.73E-02,9.34E-01,3.89E-01
3.30E+01,7.20E-02,5.63E-02,9.35E-01,3.89E-01
1.07E+02,8.03E-02,5.55E-02,9.36E-01,3.89E-01
7.80E+01,7.32E-02,5.67E-02,9.34E-01,3.89E-01
2.00E+00,7.56E-02,5.59E-02,9.35E-01,3.90E-01
2.10E+01,7.60E-02,5.73E-02,9.34E-01,3.90E-01
6.90E+01,7.33E-02,5.67E-02,9.35E-01,3.90E-01
5.00E+00,7.61E-02,5.60E-02,9.35E-01,3.90E-01
6.70E+01,7.66E-02,5.69E-02,9.34E-01,3.91E-01
5.50E+01,7.28E-02,5.73E-02,9.34E-01,3.92E-01
3.60E+01,7.42E-02,5.78E-02,9.33E-01,3.92E-01
8.90E+01,7.50E-02,5.77E-02,9.33E-01,3.93E-01
3.80E+01,7.24E-02,5.79E-02,9.33E-01,3.93E-01
1.90E+01,7.10E-02,5.78E-02,9.33E-01,3.93E-01
2.50E+01,7.25E-02,5.90E-02,9.32E-01,3.94E-01
2.30E+01,7.18E-02,5.74E-02,9.34E-01,3.95E-01
