Recovery_loss_weight,NMAE,NMSE,R2,Error ratio
5.00E-01,8.98E-02,1.58E-01,8.18E-01,5.17E-01
5.10E-01,8.71E-02,1.44E-01,8.34E-01,5.02E-01
5.20E-01,8.85E-02,1.49E-01,8.27E-01,5.21E-01
5.30E-01,9.03E-02,1.74E-01,7.99E-01,5.58E-01
5.40E-01,8.67E-02,1.43E-01,8.34E-01,5.32E-01
5.50E-01,8.46E-02,1.20E-01,8.62E-01,4.87E-01
5.60E-01,8.67E-02,1.45E-01,8.32E-01,5.28E-01
5.70E-01,8.48E-02,1.19E-01,8.62E-01,4.85E-01
5.80E-01,8.22E-02,1.04E-01,8.80E-01,4.64E-01
5.90E-01,8.36E-02,1.07E-01,8.77E-01,4.69E-01
6.00E-01,8.13E-02,9.09E-02,8.95E-01,4.41E-01
6.10E-01,8.13E-02,9.38E-02,8.92E-01,4.65E-01
6.20E-01,8.11E-02,8.74E-02,8.99E-01,4.42E-01
6.30E-01,8.22E-02,9.92E-02,8.85E-01,4.75E-01
6.40E-01,7.81E-02,6.03E-02,9.30E-01,3.90E-01
6.50E-01,7.93E-02,7.76E-02,9.10E-01,4.34E-01
6.60E-01,7.87E-02,6.76E-02,9.22E-01,4.08E-01
6.70E-01,8.05E-02,8.83E-02,8.98E-01,4.40E-01
6.80E-01,7.70E-02,4.92E-02,9.43E-01,3.61E-01
6.90E-01,8.04E-02,8.33E-02,9.04E-01,4.30E-01
7.00E-01,7.92E-02,7.49E-02,9.13E-01,4.16E-01
7.10E-01,7.75E-02,6.46E-02,9.25E-01,4.14E-01
7.20E-01,8.01E-02,8.22E-02,9.05E-01,4.31E-01
7.30E-01,7.74E-02,5.75E-02,9.34E-01,3.81E-01
7.40E-01,7.82E-02,6.55E-02,9.24E-01,3.97E-01
7.50E-01,7.86E-02,7.16E-02,9.17E-01,4.10E-01
7.60E-01,7.71E-02,5.51E-02,9.36E-01,3.81E-01
7.70E-01,7.70E-02,5.98E-02,9.31E-01,3.96E-01
7.80E-01,7.64E-02,5.53E-02,9.36E-01,3.86E-01
7.90E-01,7.72E-02,6.02E-02,9.30E-01,3.92E-01
8.00E-01,7.83E-02,7.00E-02,9.19E-01,4.10E-01
8.10E-01,7.73E-02,5.84E-02,9.33E-01,3.95E-01
8.20E-01,7.67E-02,5.33E-02,9.38E-01,3.76E-01
