N  ,ACTUAL      ,PREDICTION  ,SAMPLE
70 ,5.7578983333,5.39396487  ,0
71 ,4.7555373333,4.7555373333,1
72 ,4.687379    ,5.5828955094,0
73 ,5.500206    ,6.264318106 ,0
74 ,6.625279    ,6.516125655 ,0
75 ,7.7539736667,7.7539736667,1
76 ,6.708357    ,6.9149651377,0
77 ,6.1426473333,6.7578922308,0
78 ,6.8358496667,6.7890527597,0
79 ,6.5286596667,6.5286596667,1
80 ,6.4133143333,6.6019310364,0
81 ,6.2854526667,6.9240813557,0
82 ,7.6582156667,6.957021715 ,0
83 ,7.011648    ,7.011648    ,1
84 ,7.0534086667,7.1571802203,0
85 ,7.5029496667,7.6103154468,0
86 ,7.738686    ,7.9224083701,0
87 ,10.084472   ,10.084472   ,1
88 ,8.9092436667,7.9870074044,0
89 ,6.85921     ,7.3180631064,0
90 ,6.959453    ,7.0533163556,0
91 ,6.5344893333,6.5344893333,1
92 ,6.159362    ,6.0764948909,0
93 ,5.0221296667,6.0867893452,0
94 ,5.7460753333,5.952150699 ,0
95 ,5.236967    ,5.236967    ,1
96 ,5.319431    ,5.4969457178,0
97 ,4.7746043333,6.158700338 ,0
98 ,5.9832236667,6.0627751644,0
99 ,6.9709136667,6.9709136667,1
100,6.5292913333,6.3163920001,0
101,5.82865     ,6.1232924153,0
102,6.4853833333,5.9494430163,0
103,5.9716766667,5.9716766667,1
104,6.6397786667,5.726753027 ,0
105,5.604735    ,5.6232075773,0
106,6.4328753333,5.9798741497,0
107,5.9241163333,5.9241163333,1
108,5.6936383333,5.6905494508,0
109,5.3742883333,5.8599309092,0
110,5.4548303333,6.0179600841,0
111,6.468548    ,6.468548    ,1
112,5.1861473333,6.0024445283,0
113,5.1629923333,5.6535763765,0
114,5.1713556667,5.5173880528,0
115,4.733025    ,4.733025    ,1
116,4.9181683333,4.9212417972,0
117,4.928289    ,4.9152960687,0
118,6.41748     ,5.3542289863,0
119,5.465121    ,5.465121    ,1
120,5.0855313333,5.0932207388,0
121,4.499787    ,5.0632334514,0
122,4.3857743333,5.3273937949,0
123,5.1193503333,5.1193503333,1
124,4.5117876667,4.8017382937,0
125,3.1884103333,4.4756732152,0
126,4.3596156667,4.5751861388,0
127,3.9149836667,3.9149836667,1
128,3.74231     ,3.7245542017,0
129,3.487441    ,3.480354961 ,0
130,3.5696823333,3.8710138582,0
131,3.1033096667,3.1033096667,1
132,3.0072236667,3.4132400817,0
133,2.433404    ,3.427855396 ,0
134,2.8130913333,3.8889954717,0
135,3.379817    ,3.379817    ,1
136,3.058215    ,3.1305613768,0
137,2.458781    ,3.1650955326,0
138,3.183586    ,3.1334175592,0
139,2.521169    ,2.521169    ,1
