N  ,ACTUAL      ,PREDICTION  ,SAMPLE
70 ,5.7578983333,5.7578983333,1
71 ,4.7555373333,4.7555373333,1
72 ,4.687379    ,4.687379    ,1
73 ,5.500206    ,4.7760554415,0
74 ,6.625279    ,6.625279    ,1
75 ,7.7539736667,7.7539736667,1
76 ,6.708357    ,7.5750479889,0
77 ,6.1426473333,6.1426473333,1
78 ,6.8358496667,6.0704118893,0
79 ,6.5286596667,5.9686130928,0
80 ,6.4133143333,5.9651590394,0
81 ,6.2854526667,5.5571990205,0
82 ,7.6582156667,5.9986326643,0
83 ,7.011648    ,7.011648    ,1
84 ,7.0534086667,5.9449586111,0
85 ,7.5029496667,7.5029496667,1
86 ,7.738686    ,7.3935228541,0
87 ,10.084472   ,7.070496903 ,0
88 ,8.9092436667,8.9092436667,1
89 ,6.85921     ,8.8669476915,0
90 ,6.959453    ,8.472268864 ,0
91 ,6.5344893333,8.8001032764,0
92 ,6.159362    ,6.159362    ,1
93 ,5.0221296667,6.6518293812,0
94 ,5.7460753333,5.7460753333,1
95 ,5.236967    ,6.0242347343,0
96 ,5.319431    ,6.2712479953,0
97 ,4.7746043333,6.3696729995,0
98 ,5.9832236667,5.9832236667,1
99 ,6.9709136667,5.6403008755,0
100,6.5292913333,6.0497687704,0
101,5.82865     ,5.82865     ,1
102,6.4853833333,5.6476131101,0
103,5.9716766667,5.9716766667,1
104,6.6397786667,5.9296403214,0
105,5.604735    ,5.7552079569,0
106,6.4328753333,5.8670155764,0
107,5.9241163333,5.6066866368,0
108,5.6936383333,5.8616603357,0
109,5.3742883333,5.3930327225,0
110,5.4548303333,5.7314823061,0
111,6.468548    ,6.468548    ,1
112,5.1861473333,5.8572986409,0
113,5.1629923333,6.4368259186,0
114,5.1713556667,5.1713556667,1
115,4.733025    ,5.4065652004,0
116,4.9181683333,5.596252837 ,0
117,4.928289    ,4.928289    ,1
118,6.41748     ,5.2517035586,0
119,5.465121    ,5.465121    ,1
120,5.0855313333,5.6206066258,0
121,4.499787    ,5.5521140343,0
122,4.3857743333,4.3857743333,1
123,5.1193503333,4.5179278848,0
124,4.5117876667,4.9538031267,0
125,3.1884103333,3.1884103333,1
126,4.3596156667,4.3596156667,1
127,3.9149836667,4.3928306089,0
128,3.74231     ,4.1852232477,0
129,3.487441    ,4.2054094108,0
130,3.5696823333,4.2449919009,0
131,3.1033096667,3.1033096667,1
132,3.0072236667,3.3155400779,0
133,2.433404    ,3.4691407017,0
134,2.8130913333,2.8130913333,1
135,3.379817    ,2.8987593214,0
136,3.058215    ,3.1643739982,0
137,2.458781    ,3.1643558924,0
138,3.183586    ,3.0832187959,0
139,2.521169    ,2.521169    ,1
