N  ,ACTUAL      ,PREDICTION  ,SAMPLE
70 ,5.7578983333,5.4069694849,0
71 ,4.7555373333,5.4547988921,0
72 ,4.687379    ,5.5114269337,0
73 ,5.500206    ,5.5650164932,0
74 ,6.625279    ,5.6162858454,0
75 ,7.7539736667,5.661680297 ,0
76 ,6.708357    ,5.7046973239,0
77 ,6.1426473333,5.7601509184,0
78 ,6.8358496667,5.8111776059,0
79 ,6.5286596667,5.4603867649,0
80 ,6.4133143333,6.4133143333,1
81 ,6.2854526667,6.2854526667,1
82 ,7.6582156667,5.8517697099,0
83 ,7.011648    ,6.6453319859,0
84 ,7.0534086667,6.0210982769,0
85 ,7.5029496667,5.9505750143,0
86 ,7.738686    ,7.738686    ,1
87 ,10.084472   ,7.7099789867,0
88 ,8.9092436667,7.4783175621,0
89 ,6.85921     ,7.4569762333,0
90 ,6.959453    ,7.6929902607,0
91 ,6.5344893333,8.1725067484,0
92 ,6.159362    ,8.1183006512,0
93 ,5.0221296667,7.7429306002,0
94 ,5.7460753333,7.9475540317,0
95 ,5.236967    ,7.8742978124,0
96 ,5.319431    ,7.6476533401,0
97 ,4.7746043333,7.4273266159,0
98 ,5.9832236667,7.4042925909,0
99 ,6.9709136667,6.9709136667,1
100,6.5292913333,6.800433941 ,0
101,5.82865     ,7.3172154549,0
102,6.4853833333,7.447555888 ,0
103,5.9716766667,7.0915889831,0
104,6.6397786667,6.6397786667,1
105,5.604735    ,6.7676889373,0
106,6.4328753333,6.7591317135,0
107,5.9241163333,6.866544405 ,0
108,5.6936383333,6.8684186295,0
109,5.3742883333,6.8222938324,0
110,5.4548303333,6.7835098002,0
111,6.468548    ,6.8273499747,0
112,5.1861473333,6.6613321823,0
113,5.1629923333,7.0605790009,0
114,5.1713556667,7.0874511418,0
115,4.733025    ,7.1198798034,0
116,4.9181683333,7.1910671021,0
117,4.928289    ,7.2416078331,0
118,6.41748     ,6.41748     ,1
119,5.465121    ,6.438204781 ,0
120,5.0855313333,6.7998125437,0
