N  ,ACTUAL      ,PREDICTION   ,SAMPLE
70 ,5.7578983333,5.7578983333 ,1
71 ,4.7555373333,5.2326783613 ,0
72 ,4.687379    ,5.5666304958 ,0
73 ,5.500206    ,5.5541926741 ,0
74 ,6.625279    ,5.4259352701 ,0
75 ,7.7539736667,5.4621691279 ,0
76 ,6.708357    ,6.708357     ,1
77 ,6.1426473333,6.4523577157 ,0
78 ,6.8358496667,6.4002634915 ,0
79 ,6.5286596667,6.5324132504 ,0
80 ,6.4133143333,6.4636980595 ,0
81 ,6.2854526667,6.5258014202 ,0
82 ,7.6582156667,7.6582156667 ,1
83 ,7.011648    ,7.3516080079 ,0
84 ,7.0534086667,7.2357566032 ,0
85 ,7.5029496667,7.5490154555 ,0
86 ,7.738686    ,7.4250169116 ,0
87 ,10.084472   ,7.3961934202 ,0
88 ,8.9092436667,7.3795395339 ,0
89 ,6.85921     ,7.0906575142 ,0
90 ,6.959453    ,7.0377161581 ,0
91 ,6.5344893333,7.4041872481 ,0
92 ,6.159362    ,7.7799714594 ,0
93 ,5.0221296667,8.0711515831 ,0
94 ,5.7460753333,8.3908633108 ,0
95 ,5.236967    ,8.965369247  ,0
96 ,5.319431    ,9.5941938342 ,0
97 ,4.7746043333,10.3585162638,0
98 ,5.9832236667,9.9933560023 ,0
99 ,6.9709136667,6.9709136667 ,1
100,6.5292913333,6.9609074399 ,0
101,5.82865     ,5.82865      ,1
102,6.4853833333,6.2816110962 ,0
103,5.9716766667,5.9716766667 ,1
104,6.6397786667,6.0021698006 ,0
105,5.604735    ,6.5131173283 ,0
106,6.4328753333,6.1825797436 ,0
107,5.9241163333,6.021200171  ,0
108,5.6936383333,6.1408746425 ,0
109,5.3742883333,6.7663088209 ,0
110,5.4548303333,6.823977123  ,0
111,6.468548    ,6.9413657178 ,0
112,5.1861473333,7.2505666765 ,0
113,5.1629923333,7.3916150829 ,0
114,5.1713556667,7.3660183427 ,0
115,4.733025    ,7.2815562798 ,0
116,4.9181683333,7.3751489952 ,0
117,4.928289    ,7.7688791102 ,0
118,6.41748     ,6.41748      ,1
119,5.465121    ,5.465121     ,1
120,5.0855313333,4.846125824  ,0
