sale_date,sold_qty
2016-12-01,32
2016-12-02,34
2016-12-03,6
2016-12-04,20
2016-12-05,14
2016-12-06,34
2016-12-07,10
2016-12-08,42
2016-12-09,28
2016-12-10,0
2016-12-11,0
2016-12-12,14
2016-12-13,10
2016-12-14,18
2016-12-15,10
2016-12-16,40
2016-12-17,6
2016-12-18,6
2016-12-19,16
2016-12-20,28
2016-12-21,34
2016-12-22,18
2016-12-23,20
2016-12-24,8
2016-12-25,0
2016-12-26,4
2016-12-27,20
2016-12-28,14
2016-12-29,6
2016-12-30,12
2016-12-31,8
2017-01-01,0
2017-01-02,12
2017-01-03,38
2017-01-04,26
2017-01-05,14
2017-01-06,22
2017-01-07,12
2017-01-08,6
2017-01-09,24
2017-01-10,14
2017-01-11,24
2017-01-12,14
2017-01-13,74
2017-01-14,6
2017-01-15,0
2017-01-16,16
2017-01-17,54
2017-01-18,26
2017-01-19,32
2017-01-20,4
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,18
2017-01-25,16
2017-01-26,30
2017-01-27,16
2017-01-28,4
2017-01-29,0
2017-01-30,8
2017-01-31,26
2017-02-01,20
2017-02-02,32
2017-02-03,22
2017-02-04,4
2017-02-05,10
2017-02-06,12
2017-02-07,16
2017-02-08,10
2017-02-09,30
2017-02-10,36
2017-02-11,12
2017-02-12,20
2017-02-13,34
2017-02-14,26
2017-02-15,0
2017-02-16,10
2017-02-17,46
2017-02-18,8
2017-02-19,20
2017-02-20,28
2017-02-21,26
2017-02-22,16
2017-02-23,36
2017-02-24,20
2017-02-25,18
2017-02-26,6
2017-02-27,30
2017-02-28,16
2017-03-01,48
2017-03-02,20
2017-03-03,20
2017-03-04,20
2017-03-05,8
2017-03-06,8
2017-03-07,96
2017-03-08,80
2017-03-09,44
2017-03-10,116
2017-03-11,16
2017-03-12,12
2017-03-13,32
2017-03-14,36
2017-03-15,72
2017-03-16,96
2017-03-17,88
2017-03-18,36
2017-03-19,16
2017-03-20,60
2017-03-21,60
2017-03-22,92
2017-03-23,56
2017-03-24,16
2017-03-25,36
2017-03-26,28
2017-03-27,44
2017-03-28,44
2017-03-29,36
2017-03-30,32
2017-03-31,8
2017-04-01,32
2017-04-02,0
2017-04-03,24
2017-04-04,32
2017-04-05,48
2017-04-06,32
2017-04-07,36
2017-04-08,52
2017-04-09,0
2017-04-10,44
2017-04-11,40
2017-04-12,0
2017-04-13,32
2017-04-14,12
2017-04-15,32
2017-04-16,16
2017-04-17,0
2017-04-18,0
2017-04-19,0
2017-04-20,0
2017-04-21,8
2017-04-22,0
2017-04-23,0
2017-04-24,8
2017-04-25,52
2017-04-26,0
2017-04-27,20
2017-04-28,0
2017-04-29,8
2017-04-30,40
