running_time,err,r2_score,rmse,err_ims,r2_score_ims,rmse_ims
0,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
1,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
2,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
3,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
4,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
5,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
6,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
7,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
8,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
9,0.4397863097859623,0.9999999225277492,12565046.899117896,0.9999997738578259,-6.270353489767899e-07,45168754222.61728
