running_time,err,r2_score,rmse,err_ims,r2_score_ims,rmse_ims
0           ,0.9999998094,-5.03486927039276E-07,45143074790.5553,0.9999997976,-6.74547084411614E-07,45168755295.6396
1           ,0.9999998015,-0.000000491         ,45143074507.6959,0.9999997976,-6.74547084411614E-07,45168755295.6396
2           ,0.999999802 ,-4.8206254565919E-07 ,45143074306.9743,0.9999997976,-6.74547084411614E-07,45168755295.6396
3           ,0.99999981  ,-5.3552557921499E-07 ,45143075513.7166,0.9999997976,-6.74547084411614E-07,45168755295.6396
4           ,0.9999998037,-5.16643711589992E-07,45143075087.524 ,0.9999997976,-6.74547084411614E-07,45168755295.6396
5           ,0.9693089829,0.9999996065         ,28318244.998601 ,0.9999997976,-6.74547084411614E-07,45168755295.6396
6           ,0.9698445695,0.9999995977         ,28631688.6812972,0.9999997976,-6.74547084411614E-07,45168755295.6396
7           ,0.9999998056,-5.17590384330191E-07,45143075108.8918,0.9999997976,-6.74547084411614E-07,45168755295.6396
8           ,0.9999998052,-5.06649026510431E-07,45143074861.9287,0.9999997976,-6.74547084411614E-07,45168755295.6396
9           ,0.9999998056,-5.10890735494485E-07,45143074957.6705,0.9999997976,-6.74547084411614E-07,45168755295.6396
